[0.020s][info][gc] Using The Z Garbage Collector
[0.143s][info][gc] GC(0) Garbage Collection (Warmup) 6M(30%)->8M(40%)
[0.240s][info][gc] GC(1) Garbage Collection (Warmup) 8M(40%)->6M(30%)
[0.338s][info][gc] GC(2) Garbage Collection (Warmup) 6M(30%)->6M(30%)
[0.438s][info][gc] GC(3) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[0.538s][info][gc] GC(4) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[0.638s][info][gc] GC(5) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[0.738s][info][gc] GC(6) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[0.839s][info][gc] GC(7) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[0.938s][info][gc] GC(8) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[1.040s][info][gc] GC(9) Garbage Collection (Allocation Rate) 8M(40%)->6M(30%)
[1.139s][info][gc] GC(10) Garbage Collection (Allocation Rate) 6M(30%)->6M(30%)
[3.339s][info][gc] GC(11) Garbage Collection (Proactive) 8M(40%)->6M(30%)
[3.645s][info][gc] GC(12) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[4.346s][info][gc] GC(13) Garbage Collection (Proactive) 12M(60%)->8M(40%)
[5.143s][info][gc] GC(14) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[5.843s][info][gc] GC(15) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[6.843s][info][gc] GC(16) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[7.844s][info][gc] GC(17) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[8.844s][info][gc] GC(18) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[9.843s][info][gc] GC(19) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[10.844s][info][gc] GC(20) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[11.843s][info][gc] GC(21) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[12.843s][info][gc] GC(22) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[13.843s][info][gc] GC(23) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[14.843s][info][gc] GC(24) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[15.843s][info][gc] GC(25) Garbage Collection (Proactive) 10M(50%)->8M(40%)
[16.844s][info][gc] GC(26) Garbage Collection (Proactive) 10M(50%)->6M(30%)
[17.842s][info][gc] GC(27) Garbage Collection (Proactive) 8M(40%)->8M(40%)
[18.442s][info][gc] GC(28) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[18.941s][info][gc] GC(29) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[19.841s][info][gc] GC(30) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[20.841s][info][gc] GC(31) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[21.842s][info][gc] GC(32) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[22.842s][info][gc] GC(33) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[23.841s][info][gc] GC(34) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[24.841s][info][gc] GC(35) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[25.842s][info][gc] GC(36) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[26.842s][info][gc] GC(37) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[27.841s][info][gc] GC(38) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[28.841s][info][gc] GC(39) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[29.841s][info][gc] GC(40) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[30.841s][info][gc] GC(41) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[31.841s][info][gc] GC(42) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[32.841s][info][gc] GC(43) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[33.841s][info][gc] GC(44) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[34.841s][info][gc] GC(45) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[35.841s][info][gc] GC(46) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[36.842s][info][gc] GC(47) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[37.841s][info][gc] GC(48) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[38.842s][info][gc] GC(49) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[39.842s][info][gc] GC(50) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[40.842s][info][gc] GC(51) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[41.841s][info][gc] GC(52) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[42.841s][info][gc] GC(53) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[43.841s][info][gc] GC(54) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[44.841s][info][gc] GC(55) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[45.841s][info][gc] GC(56) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[46.842s][info][gc] GC(57) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[47.841s][info][gc] GC(58) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[48.742s][info][gc] GC(59) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[49.143s][info][gc] GC(60) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[49.842s][info][gc] GC(61) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[50.842s][info][gc] GC(62) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[51.841s][info][gc] GC(63) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[52.841s][info][gc] GC(64) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[53.841s][info][gc] GC(65) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[54.841s][info][gc] GC(66) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[55.841s][info][gc] GC(67) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[56.841s][info][gc] GC(68) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[57.841s][info][gc] GC(69) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[58.841s][info][gc] GC(70) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[59.841s][info][gc] GC(71) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[60.842s][info][gc] GC(72) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[61.842s][info][gc] GC(73) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[62.841s][info][gc] GC(74) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[63.741s][info][gc] GC(75) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[64.142s][info][gc] GC(76) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[64.842s][info][gc] GC(77) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[65.841s][info][gc] GC(78) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[66.842s][info][gc] GC(79) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[67.841s][info][gc] GC(80) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[68.841s][info][gc] GC(81) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[69.842s][info][gc] GC(82) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[70.841s][info][gc] GC(83) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[71.841s][info][gc] GC(84) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[72.841s][info][gc] GC(85) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[73.842s][info][gc] GC(86) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[74.841s][info][gc] GC(87) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[75.841s][info][gc] GC(88) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[76.841s][info][gc] GC(89) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[77.841s][info][gc] GC(90) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[78.841s][info][gc] GC(91) Garbage Collection (Proactive) 12M(60%)->10M(50%)
[79.841s][info][gc] GC(92) Garbage Collection (Proactive) 12M(60%)->10M(50%)
